State,Crop,Fertilizer Name,Type,"Toxicity Score (1=low,5=high)",Recommended Amount per Acre,Notes,Ideal pH,Ideal Temp (°C)
Tamil Nadu,Rice,Urea (46% N),Chemical,4,50 kg,Split application recommended,5.5–7.0,20–30°C
Tamil Nadu,Rice,DAP (18-46-0),Chemical,3,40 kg,Basal application,5.5–7.0,20–30°C
Tamil Nadu,Rice,NPK (20-20-0),Chemical,3,45 kg,Balanced nutrient supply,5.5–7.0,20–30°C
Tamil Nadu,Rice,NPK (19-19-19),Chemical,3,40 kg,Foliar application possible,5.5–7.0,20–30°C
Tamil Nadu,Rice,Compost,Organic,1,1000 kg,Improves soil structure,5.5–7.0,20–30°C
Tamil Nadu,Rice,Farmyard Manure (FYM),Organic,1,1500 kg,Adds organic matter,5.5–7.0,20–30°C
Tamil Nadu,Rice,Vermicompost,Organic,1,1200 kg,Boosts soil microbes,5.5–7.0,20–30°C
Tamil Nadu,Rice,Azospirillum Biofertilizer,Biofertilizer,1,5 kg,Nitrogen fixation,5.5–7.0,20–30°C
Tamil Nadu,Rice,Rhizobium Biofertilizer,Biofertilizer,1,5 kg,Legume nitrogen fixer,5.5–7.0,20–30°C
Tamil Nadu,Rice,Phosphate Solubilizing Bacteria (PSB),Biofertilizer,1,5 kg,Improves P uptake,5.5–7.0,20–30°C
Tamil Nadu,Rice,Gypsum,Soil Amendment,2,200 kg,Improves pod formation in groundnut,5.5–7.0,20–30°C
Tamil Nadu,Rice,Neem Cake,Organic,1,400 kg,Pest and nematode control,5.5–7.0,20–30°C
Tamil Nadu,Groundnut,Urea (46% N),Chemical,4,50 kg,Split application recommended,6.0–7.5,22–28°C
Tamil Nadu,Groundnut,DAP (18-46-0),Chemical,3,40 kg,Basal application,6.0–7.5,22–28°C
Tamil Nadu,Groundnut,NPK (20-20-0),Chemical,3,45 kg,Balanced nutrient supply,6.0–7.5,22–28°C
Tamil Nadu,Groundnut,NPK (19-19-19),Chemical,3,40 kg,Foliar application possible,6.0–7.5,22–28°C
Tamil Nadu,Groundnut,Compost,Organic,1,1000 kg,Improves soil structure,6.0–7.5,22–28°C
Tamil Nadu,Groundnut,Farmyard Manure (FYM),Organic,1,1500 kg,Adds organic matter,6.0–7.5,22–28°C
Tamil Nadu,Groundnut,Vermicompost,Organic,1,1200 kg,Boosts soil microbes,6.0–7.5,22–28°C
Tamil Nadu,Groundnut,Azospirillum Biofertilizer,Biofertilizer,1,5 kg,Nitrogen fixation,6.0–7.5,22–28°C
Tamil Nadu,Groundnut,Rhizobium Biofertilizer,Biofertilizer,1,5 kg,Legume nitrogen fixer,6.0–7.5,22–28°C
Tamil Nadu,Groundnut,Phosphate Solubilizing Bacteria (PSB),Biofertilizer,1,5 kg,Improves P uptake,6.0–7.5,22–28°C
