Crop,Chemical Fertiliser,Brand,Cost (per kg),Chemical Efficiency,Organic Fertiliser,Brand,Cost (per kg),Organic Efficiency
Paddy (rice),Neem-coated Urea,IFFCO MFL,5.36,35,Azospirillum,TNAU local firms,150,15
Paddy (rice),Zinc Sulphate,Coromandel,25,17.5,Phosphobacteria,TNAU local firms,150,15
Paddy (rice),SSP,MFL,9,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Sorghum (cholam),19-19-19 NPK,Coromandel,11,40,Farmyard Manure (FYM),Rachana Guild Earth Sense Agro Products,14,15
Sorghum (cholam),Urea,IFFCO MFL,5.36,35,Azotobacter,TNAU,150,15
Sorghum (cholam),MOP,IPL,34,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Pearl Millet (kambu),Di-Ammonium Phosphate (DAP),MFL IFFCO,27,17.5,Cow Dung Manure,Local Suppliers,14,15
Pearl Millet (kambu),Urea,IFFCO MFL,5.36,35,TNAU Bio-fertilisers,TNAU,150,15
Pearl Millet (kambu),Gypsum,Coromandel,6.5,55,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Finger Millet (ragi),Urea,IFFCO MFL,5.36,35,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Finger Millet (ragi),SSP,Coromandel,9,55,Bio-P (Phosphate Solubilizing Bacteria),Agri Biotech TNAU,150,15
Finger Millet (ragi),MOP,IPL,34,55,Farmyard Manure (FYM),Rachana Guild Earth Sense Agro Products,14,15
Maize,NPK 17-17-17,Coromandel MFL,11,40,Cow Dung Manure,Local Suppliers,14,15
Maize,Zinc Sulphate,Coromandel,25,35,TNAU Bio-fertilisers,TNAU,150,15
Maize,Urea,IFFCO MFL,5.36,35,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Little Millet (samai),Urea,IFFCO MFL,5.36,35,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Little Millet (samai),SSP,Coromandel,9,55,Azospirillum,TNAU Agri Biotech,150,15
Little Millet (samai),SSP,Coromandel,9,,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Foxtail Millet (thinai),Di-Ammonium Phosphate (DAP),Coromandel MFL,27,17.5,Farmyard Manure (FYM),Local Suppliers,14,15
Foxtail Millet (thinai),Urea,IFFCO MFL,5.36,35,Azotobacter,TNAU,150,15
Foxtail Millet (thinai),Urea,IFFCO MFL,5.36,,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Barnyard Millet (kuthiraivali),SSP,Coromandel,9,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Barnyard Millet (kuthiraivali),Urea,IFFCO MFL,5.36,35,TNAU Bio-fertilisers,TNAU,150,15
Barnyard Millet (kuthiraivali),Urea,IFFCO MFL,5.36,,Cow Dung Manure,Local Suppliers,14,15
Proso Millet (panivaragu),Muriate of Potash (MOP),IPL,34,55,Cow Dung Manure,Rachana Guild Earth Sense Agro Products,14,15
Proso Millet (panivaragu),Urea,IFFCO MFL,5.36,35,Azotobacter,TNAU,150,15
Proso Millet (panivaragu),Gypsum,Coromandel,6.5,55,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Black Gram (urd),SSP,Coromandel,9,55,Rhizobium,TNAU,150,15
Black Gram (urd),Urea,IFFCO MFL,5.36,35,Phosphobacteria,TNAU,150,15
Black Gram (urd),Borax,Local brands,25,35,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Green Gram (moong),DAP,MFL Coromandel,27,17.5,Rhizobium,TNAU,150,15
Green Gram (moong),MOP,IPL MFL,34,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
Red Gram (pigeon pea / tur),SSP,Coromandel,9,55,Neem Cake,Greenrich S R Neem Agro Products,22.5,15
Red Gram (pigeon pea / tur),Urea,IFFCO MFL,5.36,35,Rhizobium,TNAU,150,15
Cowpea (karamani),Di-Ammonium Phosphate (DAP),Coromandel MFL,27,17.5,Phosphobacteria,TNAU,150,15
Cowpea (karamani),MOP,IPL MFL,34,55,Vermicompost,Manidharma Biotech Rasi Organic Farms,17.5,15
